Epoch 281: Reached 5000 samples, ending early with 5022 samples.
Epoch 281, Mean Reward: 313.53
Epoch 282: Reached 5000 samples, ending early with 5012 samples.
Epoch 282, Mean Reward: 326.65
Epoch 283: Reached 5000 samples, ending early with 5066 samples.
Epoch 283, Mean Reward: 315.88
Epoch 284: Reached 5000 samples, ending early with 5001 samples.
Epoch 284, Mean Reward: 308.21
Epoch 285: Reached 5000 samples, ending early with 5082 samples.
Epoch 285, Mean Reward: 308.69
Epoch 286: Reached 5000 samples, ending early with 5014 samples.
Epoch 286, Mean Reward: 333.01
Epoch 287: Reached 5000 samples, ending early with 5046 samples.
Epoch 287, Mean Reward: 313.90
Epoch 288: Reached 5000 samples, ending early with 5083 samples.
Epoch 288, Mean Reward: 322.93
Epoch 289: Reached 5000 samples, ending early with 5071 samples.
Epoch 289, Mean Reward: 325.38
Epoch 290: Reached 5000 samples, ending early with 5005 samples.
Epoch 290, Mean Reward: 294.78
Epoch 291: Reached 5000 samples, ending early with 5030 samples.
Epoch 291, Mean Reward: 312.54
Epoch 292: Reached 5000 samples, ending early with 5048 samples.
Epoch 292, Mean Reward: 335.07
Epoch 293: Reached 5000 samples, ending early with 5025 samples.
Eval at 1402785 samples: 279.63
Epoch 293, Mean Reward: 327.16
Epoch 294: Reached 5000 samples, ending early with 5031 samples.
Epoch 294, Mean Reward: 314.82
Epoch 295: Reached 5000 samples, ending early with 5015 samples.
Epoch 295, Mean Reward: 321.49
Epoch 296: Reached 5000 samples, ending early with 5036 samples.
Epoch 296, Mean Reward: 325.88
Epoch 297: Reached 5000 samples, ending early with 5002 samples.
Epoch 297, Mean Reward: 330.75
Epoch 298: Reached 5000 samples, ending early with 5032 samples.
Epoch 298, Mean Reward: 314.99
Epoch 299: Reached 5000 samples, ending early with 5048 samples.
Epoch 299, Mean Reward: 326.85
Epoch 300: Reached 5000 samples, ending early with 5011 samples.
Epoch 300, Mean Reward: 310.76
Epoch 301: Reached 5000 samples, ending early with 5017 samples.
Epoch 301, Mean Reward: 324.45
Epoch 302: Reached 5000 samples, ending early with 5067 samples.
Epoch 302, Mean Reward: 312.53
Epoch 303: Reached 5000 samples, ending early with 5057 samples.
Epoch 303, Mean Reward: 323.24
Epoch 304: Reached 5000 samples, ending early with 5008 samples.
Epoch 304, Mean Reward: 307.55
Epoch 305: Reached 5000 samples, ending early with 5040 samples.
Epoch 305, Mean Reward: 320.25
Epoch 306: Reached 5000 samples, ending early with 5049 samples.
Epoch 306, Mean Reward: 316.24
Epoch 307: Reached 5000 samples, ending early with 5007 samples.
Epoch 307, Mean Reward: 305.31
Epoch 308: Reached 5000 samples, ending early with 5074 samples.
Epoch 308, Mean Reward: 316.43
Epoch 309: Reached 5000 samples, ending early with 5059 samples.
Epoch 309, Mean Reward: 327.63
Epoch 310: Reached 5000 samples, ending early with 5060 samples.
Epoch 310, Mean Reward: 318.87
Epoch 311: Reached 5000 samples, ending early with 5015 samples.
Epoch 311, Mean Reward: 306.17
Epoch 312: Reached 5000 samples, ending early with 5000 samples.
Epoch 312, Mean Reward: 324.52
Epoch 313: Reached 5000 samples, ending early with 5107 samples.
Eval at 1503520 samples: 329.96
Epoch 313, Mean Reward: 311.40
Epoch 314: Reached 5000 samples, ending early with 5084 samples.
Epoch 314, Mean Reward: 317.04
Epoch 315: Reached 5000 samples, ending early with 5013 samples.
Epoch 315, Mean Reward: 317.40
Epoch 316: Reached 5000 samples, ending early with 5034 samples.
Epoch 316, Mean Reward: 330.95
Epoch 317: Reached 5000 samples, ending early with 5023 samples.
Epoch 317, Mean Reward: 298.33
