Steps,Return_1k,Return_10k,Label,Gamma
4306701,2521.19301895835,14641.118346213349,TRPO_gamma_0.95,0.95
4402894,2387.1334486098995,10543.704821234496,TRPO_gamma_0.95,0.95
4506657,1964.0594945746059,11535.224219408665,TRPO_gamma_0.95,0.95
4604031,3123.005977054344,12711.86039406732,TRPO_gamma_0.95,0.95
4701939,3537.575296178003,11544.466279759112,TRPO_gamma_0.95,0.95
4806697,2686.18833939115,12565.360967568038,TRPO_gamma_0.95,0.95
4900361,3180.9621460701105,12658.259940766555,TRPO_gamma_0.95,0.95
5003479,2533.8044479212604,11870.598795962593,TRPO_gamma_0.95,0.95
5106633,3159.635006540505,11475.124500475364,TRPO_gamma_0.95,0.95
5205933,2518.070994961851,10372.21438521189,TRPO_gamma_0.95,0.95
5301164,2664.587437212086,10671.014818333055,TRPO_gamma_0.95,0.95
