Steps,Return_1k,Return_10k,Label,Gamma
4200000,2607.8957320357267,26559.896163352736,TRPO_gamma_0.99,0.99
4304000,2642.316322206057,26645.401174500486,TRPO_gamma_0.99,0.99
4400000,2666.8250897005246,26938.246343956755,TRPO_gamma_0.99,0.99
4504000,2662.5374269007484,27036.62711837705,TRPO_gamma_0.99,0.99
4600000,2685.9530129330697,27383.04193039063,TRPO_gamma_0.99,0.99
4704000,2667.005688002315,27495.820339875074,TRPO_gamma_0.99,0.99
4800000,2781.257230421611,28172.980005803904,TRPO_gamma_0.99,0.99
4904000,2749.1455835164898,28116.070981831057,TRPO_gamma_0.99,0.99
5000000,2811.502744442401,28524.360000029592,TRPO_gamma_0.99,0.99
5104000,2826.1855624460086,28465.17480814681,TRPO_gamma_0.99,0.99
5200000,2833.0231877220367,28814.03311161245,TRPO_gamma_0.99,0.99
5304000,2891.365885633568,28943.549731530737,TRPO_gamma_0.99,0.99
5400000,2859.1041159590213,29200.520458702602,TRPO_gamma_0.99,0.99
5504000,2862.9484176224314,29527.03054555453,TRPO_gamma_0.99,0.99
5600000,2841.7929873883954,29323.762336003292,TRPO_gamma_0.99,0.99
5704000,2900.9572461985713,29375.332872071653,TRPO_gamma_0.99,0.99
5800000,2937.317753223632,29901.21805620555,TRPO_gamma_0.99,0.99
5904000,2903.5819425910654,29868.086341093644,TRPO_gamma_0.99,0.99
6000000,2959.6382147512077,30025.77263327616,TRPO_gamma_0.99,0.99
6104000,2977.1346725122594,30067.944303594162,TRPO_gamma_0.99,0.99
6200000,2975.9790352533455,30122.580168032517,TRPO_gamma_0.99,0.99
6304000,3021.2184564810173,30562.881447727705,TRPO_gamma_0.99,0.99
6400000,3009.6988364094755,30909.978488653025,TRPO_gamma_0.99,0.99
6504000,3004.056545083723,30504.981981597033,TRPO_gamma_0.99,0.99
6600000,2984.772232606361,27282.917590068166,TRPO_gamma_0.99,0.99
6704000,3061.6549793697986,31127.487131503167,TRPO_gamma_0.99,0.99
6800000,3122.2698202966676,31438.16148878333,TRPO_gamma_0.99,0.99
6904000,3098.3791427326687,31544.333837062895,TRPO_gamma_0.99,0.99
7000000,3112.709525089023,31623.2808861157,TRPO_gamma_0.99,0.99
7104000,3091.3197728862588,31472.333506732502,TRPO_gamma_0.99,0.99
7200000,3137.556961021268,31789.852089233173,TRPO_gamma_0.99,0.99
7304000,3157.0512339703137,31900.82908397282,TRPO_gamma_0.99,0.99
7400000,3212.6913339462,32470.996289203096,TRPO_gamma_0.99,0.99
7504000,3201.678003151585,32892.97498913395,TRPO_gamma_0.99,0.99
7600000,3249.6350601848217,32876.51691522302,TRPO_gamma_0.99,0.99
7704000,3242.692833002385,32967.78818784094,TRPO_gamma_0.99,0.99
7800000,3203.7520744154363,33143.37602198885,TRPO_gamma_0.99,0.99
7904000,3221.394154641884,32971.8256386601,TRPO_gamma_0.99,0.99
8000000,3278.0167662024737,33198.24108966081,TRPO_gamma_0.99,0.99
8104000,3285.7802325385937,33544.915548785,TRPO_gamma_0.99,0.99
8200000,3277.412378031893,33731.492898383105,TRPO_gamma_0.99,0.99
8304000,3345.99315397011,34217.77531194025,TRPO_gamma_0.99,0.99
8400000,3357.6361821482546,34167.10389490238,TRPO_gamma_0.99,0.99
8504000,3402.3245587457072,34281.84146793077,TRPO_gamma_0.99,0.99
8600000,3410.6005079464885,34731.616259683244,TRPO_gamma_0.99,0.99
8704000,3379.367335743597,34782.739606650466,TRPO_gamma_0.99,0.99
8800000,3442.681261540317,35169.92837648785,TRPO_gamma_0.99,0.99
8904000,3450.4210012328977,35199.27063819339,TRPO_gamma_0.99,0.99
9000000,3485.252426564184,35495.57550173452,TRPO_gamma_0.99,0.99
9104000,3495.8934619229594,35414.628056258065,TRPO_gamma_0.99,0.99
